area_code,grid_row,grid_col,street_lamp_count,cctv_count,activity_count,footway_km,lit_yes_km,lit_tagged_km,streetlight_density,cctv_coverage,activity_density,footpath_quality,lit_share_score,lighting_score,crowd_density,osm_coverage,osm_evidence,infra_score
AREA-06-18,6,18,0,0,0,0.0,0.2865,0.2865,0.0,0.0,0.0,0.0,0.7853,0.7853,0.0,0.2301,1.432,0.5
AREA-06-19,6,19,2,0,0,0.0,0.2562,0.2562,0.2419,0.0,0.0,0.0,0.7802,0.7048,0.0,0.3765,3.281,0.2419
AREA-06-20,6,20,0,0,0,0.0,0.0,0.0727,0.0,0.0,0.0,0.0,0.6748,0.6748,0.0,0.0803,0.364,0.5
AREA-06-21,6,21,0,0,0,0.0,0.0,1.5731,0.0,0.0,0.0,0.0,0.2813,0.2813,0.0,0.5649,7.866,0.5
AREA-06-22,6,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-23,6,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-24,6,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-25,6,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-26,6,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-27,6,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-28,6,28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-29,6,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-30,6,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-31,6,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-32,6,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-33,6,33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-34,6,34,0,0,3,0.0,0.0,0.0,0.0,0.0,0.2843,0.0,0.7238,0.7238,0.2843,0.3589,3.0,0.5
AREA-06-35,6,35,0,0,4,0.0,0.0,0.0,0.0,0.0,0.3382,0.0,0.7238,0.7238,0.3382,0.4166,4.0,0.5
AREA-06-36,6,36,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-06-37,6,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-06-38,6,38,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-06-39,6,39,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-07-00,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-01,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-02,7,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-03,7,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-04,7,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-05,7,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-06,7,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-07,7,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-08,7,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-09,7,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-10,7,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-11,7,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-12,7,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-13,7,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-14,7,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-15,7,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-16,7,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-17,7,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-18,7,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-19,7,19,0,0,0,0.0,0.2582,0.2582,0.0,0.0,0.0,0.0,0.7805,0.7805,0.0,0.2146,1.291,0.5
AREA-07-20,7,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-21,7,21,0,0,0,0.0,0.0,1.5602,0.0,0.0,0.0,0.0,0.2827,0.2827,0.0,0.563,7.801,0.5
AREA-07-22,7,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-23,7,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-24,7,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-25,7,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-26,7,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-27,7,27,1,0,0,0.0,0.0,0.0448,0.1439,0.0,0.0,0.0,0.6928,0.6544,0.0,0.2069,1.224,0.1439
AREA-07-28,7,28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-29,7,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-30,7,30,0,0,5,0.0,0.0,0.0,0.0,0.0,0.3834,0.0,0.7238,0.7238,0.3834,0.4638,5.0,0.5
AREA-07-31,7,31,0,0,15,0.0,0.0,0.0,0.0,0.0,0.6384,0.0,0.7238,0.7238,0.6384,0.7178,15.0,0.5
AREA-07-32,7,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-07-33,7,33,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-07-34,7,34,0,0,10,0.0,0.0,0.0,0.0,0.0,0.539,0.0,0.7238,0.7238,0.539,0.6208,10.0,0.5
AREA-07-35,7,35,0,0,13,0.0,0.0,0.0,0.0,0.0,0.6028,0.0,0.7238,0.7238,0.6028,0.6832,13.0,0.5
AREA-07-36,7,36,0,0,7,0.0,0.0,0.0,0.0,0.0,0.4563,0.0,0.7238,0.7238,0.4563,0.5383,7.0,0.5
AREA-07-37,7,37,0,0,15,0.0,0.0,0.0,0.0,0.0,0.6384,0.0,0.7238,0.7238,0.6384,0.7178,15.0,0.5
AREA-07-38,7,38,0,0,11,0.0,0.0,0.0,0.0,0.0,0.5619,0.0,0.7238,0.7238,0.5619,0.6433,11.0,0.5
AREA-07-39,7,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-08-00,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-08-01,8,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
